S 1050-G60Y,#c5d05f
S 1050-G70Y,#d1d45e
S 1050-G80Y,#d7cf5a
S 1050-G90Y,#e2cf56
S 1050-R,#e77e81
S 1050-R10B,#e98090
S 1050-R20B,#e27a9b
S 1050-R30B,#e07ead
S 1050-R40B,#d184be
S 1050-R90B,#5ca9e0
S 1050-Y,#efce59
S 1050-Y10R,#f6c357
S 1050-Y20R,#f7b657
S 1050-Y30R,#f8a959
S 1050-Y40R,#f7a05a
S 1050-Y50R,#f6985c
S 1050-Y60R,#f58f65
S 1050-Y70R,#f58a68
S 1050-Y80R,#f28673
S 1050-Y90R,#ed7f7b
S 1055-B90G,#1abf99
S 1060-B,#00a2d5
S 1060-G,#10ba83
S 1060-G10Y,#4abb73
S 1060-G20Y,#68be64
S 1060-G30Y,#87c35c
S 1060-G40Y,#a0c553
S 1060-G50Y,#b1c84a
S 1060-G60Y,#becc44
S 1060-G70Y,#c8c93c
S 1060-G80Y,#d4c93d
S 1060-G90Y,#e2cb3e
S 1060-R,#e2646f
S 1060-R10B,#e3627b
S 1060-R20B,#dc5c85
S 1060-R30B,#db5e9e
S 1060-Y,#f5cd3d
S 1060-Y10R,#fabe39
S 1060-Y20R,#fcb03d
S 1060-Y30R,#f9a040
S 1060-Y40R,#f39144
S 1060-Y50R,#f48849
S 1060-Y60R,#f08052
S 1060-Y70R,#ee7755
S 1060-Y80R,#ec6e5c
S 1060-Y90R,#e96a66
S 1070-G10Y,#00ad5b
S 1070-G20Y,#4eb850
S 1070-G30Y,#72b43e
S 1070-G40Y,#92bb30
S 1070-G50Y,#a6bd24
S 1070-G60Y,#b5c424
S 1070-G70Y,#c5c705
S 1070-G80Y,#d4c906
S 1070-G90Y,#e0c50c
S 1070-R,#d83f4f
S 1070-R10B,#d63f61
S 1070-R20B,#d33971
S 1070-Y,#f0c307
S 1070-Y10R,#f5b50a
S 1070-Y20R,#f8a61e
S 1070-Y30R,#f89426
S 1070-Y40R,#f78627
S 1070-Y50R,#f27b30
S 1070-Y60R,#ec7037
S 1070-Y70R,#ea6641
S 1070-Y80R,#e55949
S 1070-Y90R,#e04b4c
S 1075-G20Y,#3aab39
S 1075-G40Y,#8ab60e
S 1075-G50Y,#9eb900
S 1075-G60Y,#b4c100
S 1075-G70Y,#c3c400
S 1075-G80Y,#cfc400
S 1075-G90Y,#ddbf00
S 1080-G30Y,#5dae00
S 1080-R,#c40233
S 1080-Y,#ecbd00
S 1080-Y10R,#f8b400
S 1080-Y20R,#f59b00
S 1080-Y30R,#f18600
S 1080-Y40R,#ed7500
S 1080-Y50R,#ed6a14
S 1080-Y60R,#e35700
S 1080-Y70R,#e04d21
S 1080-Y80R,#dc3c2a
S 1080-Y90R,#d11d2b
S 1085-Y80R,#d92f1e
S 1085-Y90R,#d01325
S 1500-N,#d4d1cd
S 1502-B,#cbd0d0
S 1502-B50G,#cfd2d0
S 1502-G,#cdcfcc
S 1502-G50Y,#d1d2cb
S 1502-R,#d4cdcc
S 1502-R50B,#d1ced0
S 1502-Y,#d4d2c7
S 1502-Y50R,#d4cec6
S 1505-G80Y,#d4d2c1
S 1505-G90Y,#d6d1bf
S 1505-Y,#d7d1be
S 1505-Y10R,#d9d1be
S 1505-Y20R,#dbd0be
S 1505-Y30R,#dccfbe
S 1505-Y40R,#dacdbb
S 1505-Y50R,#daccbf
S 1505-Y60R,#dcccc1
S 1505-Y70R,#d9ccc4
S 1505-Y80R,#d7c9c4
S 1505-Y90R,#d7c9c6
S 1510-B,#b9c9d0
S 1510-B20G,#b7cacd
S 1510-B50G,#b9cecc
S 1510-B80G,#b9cec6
S 1510-G,#bed1c3
S 1510-G20Y,#c2d0bd
S 1510-G40Y,#c8cfb8
S 1510-G60Y,#ced1b5
S 1510-G80Y,#d6d2b4
S 1510-G90Y,#d5cfaf
S 1510-R,#d9c1be
S 1510-R10B,#d8c1c2
S 1510-R20B,#d7c1c6
S 1510-R40B,#d1c2cb
S 1510-R60B,#cac8d3
S 1510-R80B,#bfc8d2
S 1510-R90B,#bdc8d2
S 1510-Y,#daceae
S 1510-Y10R,#dccdac
S 1510-Y20R,#e0ccac
S 1510-Y30R,#dec8ab
S 1510-Y40R,#e1c7ad
S 1510-Y50R,#e1c3ae
S 1510-Y60R,#dec4b2
S 1510-Y70R,#dcc1b3
S 1510-Y80R,#dbc1b7
S 1510-Y90R,#d7beb8
S 1515-B,#adc5d0
S 1515-B20G,#acc9cd
S 1515-B50G,#aacac8
S 1515-B80G,#aecdc3
S 1515-G,#b1cdbb
S 1515-G20Y,#b8ccb4
S 1515-G40Y,#c3cdad
S 1515-G60Y,#cccea9
S 1515-G80Y,#d4d0a6
S 1515-G90Y,#d9cfa2
S 1515-R,#dbb9b5
S 1515-R10B,#dab9bb
S 1515-R20B,#d8b9c0
S 1515-R40B,#d0bbca
S 1515-R60B,#c3bed3
S 1515-R80B,#b4c3d4
S 1515-R90B,#b1c4d2
S 1515-Y,#dccda2
S 1515-Y10R,#ddc9a0
S 1515-Y20R,#e1c89e
S 1515-Y30R,#e3c39d
S 1515-Y40R,#e6c2a1
S 1515-Y50R,#e1bca0
S 1515-Y60R,#e3bba5
S 1515-Y70R,#dfb8a7
S 1515-Y80R,#e0b8ac
S 1515-Y90R,#dfb8b0
S 1550-R70B,#8291d2
S 1550-R80B,#6697d6
S 1555-B10G,#00a1c2
S 1555-R70B,#7483cb
S 1555-R80B,#568acd
S 1560-R90B,#098acb
S 1565-B,#0088bf
S 1565-G,#00a368
S 1575-R10B,#b90245
S 1580-R,#ad0028
S 1580-Y80R,#c62c20
S 1580-Y90R,#bd131f
S 2000-N,#c8c6c4
S 2002-B,#bec2c2
S 2002-B50G,#c0c4c4
S 2002-G,#bfc2be
S 2002-G50Y,#c4c4bf
S 2002-R,#c7bfbe
S 2002-R50B,#c6c3c5
S 2002-Y,#c7c3bb
S 2002-Y50R,#c9c2bb
S 2005-B,#bac2c5
S 2005-B20G,#b9c3c3
S 2005-B50G,#bac3c2
S 2005-B80G,#bac3c0
S 2005-G,#bcc3bc
S 2005-G10Y,#bcc3ba
S 2005-G20Y,#bfc6bd
S 2005-G30Y,#bdc3b8
S 2005-G40Y,#c5c8bc
S 2005-G50Y,#c0c2b5
S 2005-G60Y,#c5c4b7
S 2005-G70Y,#c3c5b5
S 2005-G80Y,#c9c7b4
S 2005-G90Y,#cbc6b6
S 2005-R,#cbbebc
S 2005-R10B,#cabebe
S 2005-R20B,#c7bbbd
S 2005-R30B,#c7bfc2
S 2005-R40B,#c7bfc4
S 2005-R50B,#c1bdc3
S 2005-R60B,#c2c0c6
S 2005-R70B,#bfc1c7
S 2005-R80B,#bec1c5
S 2005-R90B,#bbc2c7
S 2005-Y,#cdc6b5
S 2005-Y10R,#cbc3b0
S 2005-Y20R,#ccc2b2
S 2005-Y30R,#cec2b2
S 2005-Y40R,#cdbead
S 2005-Y50R,#cbbfb1
S 2005-Y60R,#ccbeb3
S 2005-Y70R,#cdbeb5
S 2005-Y80R,#c9bbb6
S 2005-Y90R,#cbbebb
S 2010-B,#acbbc3
S 2010-B10G,#adbbbf
S 2010-B30G,#aac0c1
S 2010-B50G,#abc0be
S 2010-B70G,#acc0bc
S 2010-B90G,#adc3b9
S 2010-G,#b0c3b5
S 2010-G10Y,#b4c6b6
S 2010-G20Y,#b1bfaf
S 2010-G30Y,#b7c2ae
S 2010-G40Y,#bec3af
S 2010-G50Y,#c0c2ad
S 2010-G60Y,#bec0a9
S 2010-G70Y,#c3c2a6
S 2010-G80Y,#c8c4a6
S 2010-G90Y,#c8c1a0
S 2010-R,#ccb6b3
S 2010-R10B,#cab3b4
S 2010-R20B,#c9b3b8
S 2010-R30B,#c6b4bc
S 2010-R40B,#c5b7c2
S 2010-R50B,#c3b8c4
S 2010-R60B,#bcbac6
S 2010-R70B,#b7bbc9
S 2010-R80B,#b0bac6
S 2010-R90B,#b1bec5
S 2010-Y,#cbc0a2
S 2010-Y10R,#cabc9f
S 2010-Y20R,#cebb9e
S 2010-Y30R,#d5c0a5
S 2010-Y40R,#d2b69d
S 2010-Y50R,#d5b8a4
S 2010-Y60R,#d2b5a5
S 2010-Y70R,#d1b6a8
S 2010-Y80R,#cab0a7
S 2010-Y90R,#ccb3ad
S 2020-B,#94b6c5
S 2020-B10G,#8fb5bf
S 2020-B30G,#91bec3
S 2020-B40G,#91bbbd
S 2020-B50G,#8db9b6
